id,name,ra,dec,distance,mag,absmag,spectrum
1,,0.02662528,-77.06529438,67.7048070412999,4.78,0.62690246,K
2,,0.03039927,-3.02747891,125.31328320802,5.13,-0.35998553,B
3,,0.03266433,-6.01397169,127.226463104326,4.37,-1.1528872,M
4,,0.03886504,-29.72044805,156.25,5.04,-0.92910016,B
5,,0.06232565,-17.33597002,69.8812019566736,4.55,0.32819816,B
6,,0.07503398,-10.50949443,492.610837438424,4.99,-3.4725199,K
7,,0.08892938,-5.70783255,39.4011032308905,4.61,1.6324581,K
8,Alpheratz,0.13976888,29.09082805,29.7619047619048,2.07,-0.2983036,B
9,Caph,0.15280269,59.15021814,16.69727834363,2.28,1.1667715,F
10,,0.15583908,-27.9879039,68.6341798215511,5.42,1.2372978,F
11,,0.15681663,-45.74698836,42.9553264604811,3.88,0.71491486,K
12,,0.16729695,-82.22399743,74.3494423791822,5.29,0.9336114,K
13,,0.17201167,46.07227117,308.641975308642,5.01,-2.437275,F
14,,0.18775227,-15.46732287,18.8893086513034,4.89,3.5089197,F
15,,0.19289362,-27.7997782,178.25311942959,5.41,-0.8451857,K
16,,0.19552446,-35.13339606,21.8102508178844,5.24,3.5466967,F
17,,0.20276358,-17.93821766,187.617260787993,5.29,-1.0763639,K
18,Algenib,0.22059721,15.18361593,102.145045965271,2.83,-2.2160866,B
19,,0.24099785,-7.78053784,191.938579654511,5.13,-1.2858114,M
20,,0.24336336,20.2066972,99.9000999000999,4.79,-0.20782961,M
21,,0.24400908,-18.93268628,151.057401812689,4.44,-1.45571,M
22,,0.28487101,38.68167915,77.639751552795,4.61,0.15957932,A
23,,0.3054737,36.7853273,43.271311120727,4.51,1.3289998,A
24,,0.32380084,-8.82382948,88.809946714032,3.56,-1.1823081,K
25,,0.33386505,-64.8776232,8.59254167382712,4.23,4.559392,F
26,,0.34329562,8.19024803,121.065375302663,5.38,-0.035099763,K
27,,0.34417857,-69.62491154,93.8967136150235,5.5,0.636748,B
28,,0.35200719,37.96869954,48.9715964740451,5.16,1.7102786,F
29,,0.35866009,-28.98129509,95.2380952380952,5.18,0.2859465,K
30,,0.41319127,61.83106347,234.192037470726,5.38,-1.4678606,B
31,,0.42755612,-77.25503511,7.47495888772612,2.82,3.451956,G
32,,0.43669894,-43.67990933,23.5238767348859,3.93,2.0724554,A
33,Ankaa,0.43801871,-42.30512197,23.7304224015187,2.4,0.52347267,K
34,,0.46547573,-33.0070446,168.067226890756,4.86,-1.2674152,M
35,,0.46745682,17.89307501,150.375939849624,5.01,-0.87589175,M
36,,0.47044031,44.39448925,81.1688311688312,5.18,0.63305354,A
37,,0.47400487,-39.91490183,127.226463104326,5.42,-0.10288727,M
38,,0.50203771,29.75169567,56.7536889897843,5.2,1.4300295,A
39,,0.50629756,-23.78771429,55.3097345132743,5.17,1.4559921,A
40,,0.52357113,-48.80356171,52.7148128624143,4.76,1.1503366,A
41,,0.52571132,-62.95808549,42.8265524625268,4.36,1.2014344,B
42,,0.525932,-62.96544985,52.7704485488127,4.53,0.91804606,A
43,,0.52953275,54.52232473,108.695652173913,4.74,-0.44106087,B
44,,0.54316689,20.29443334,78.8022064617809,5.38,0.8973081,K
45,,0.5454984,-63.03137868,46.4684014869888,5.07,1.7342113,A
46,,0.54999626,62.93178781,1265.82278481013,4.17,-6.3418646,B
47,,0.58740026,-3.59275785,21.0482003788676,5.2,3.5839252,F
48,,0.60230209,54.16845384,155.038759689922,5.08,-0.87220144,B
49,,0.61290861,44.48850971,201.207243460765,5.14,-1.378218,K
50,,0.61467749,33.71935227,201.207243460765,4.34,-2.1782181,B
51,,0.61618528,53.89693161,183.150183150183,3.69,-2.6240368,B
52,,0.62256277,35.39951013,313.479623824451,5.45,-2.0310466,G
53,,0.64263868,29.312369,51.7063081695967,4.34,0.77228236,G
54,,0.65274638,49.35459528,408.163265306122,5.45,-2.6041696,K
55,,0.65544371,30.86122579,31.0655483069276,3.27,0.8086049,K
56,,0.66543164,21.4385644,125.944584382872,5.36,-0.14089748,F
57,Shedir,0.67510756,56.53740928,70.0770847932726,2.24,-1.9878801,K
58,,0.68533204,39.45867141,105.596620908131,5.3,0.1817499,G
59,,0.68877111,-46.08500934,75.8150113722517,4.59,0.19122398,G
60,,0.70107895,50.51254151,340.136054421769,4.8,-2.8582633,B
61,,0.70786031,-65.46813002,40.6669377795852,5.38,2.3337927,F
62,,0.72256778,-57.46309763,73.6919675755343,4.36,0.022899238,A
63,,0.72446964,47.02463657,53.4473543559594,4.95,1.3103689,A
64,Diphda,0.7264523,-17.9866841,29.3772032902468,2.04,-0.30005226,K
65,,0.73650151,-10.60927365,64.3500643500644,4.77,0.72725505,K
66,,0.74541725,48.28438262,277.777777777778,4.48,-2.7384875,B
67,,0.74567703,-22.00633247,27.8396436525612,5.22,2.9966817,F
68,,0.75477874,55.2214087,107.758620689655,5.41,0.24773988,A
69,,0.76989701,-22.52206718,102.249488752556,5.49,0.44169426,G
70,,0.77582666,15.47561194,180.18018018018,5.36,-0.9185351,M
71,,0.78899727,24.26737703,55.6173526140156,4.08,0.35394844,K
72,,0.79611658,74.84758739,246.305418719212,5.42,-1.5373698,B
73,,0.80975515,-74.92335356,62.7352572145546,5.09,1.1024415,K
74,,0.81135982,7.58520186,93.5453695042095,4.44,-0.41511148,K
75,,0.81388703,50.96819154,119.4743130227,4.9,-0.4863727,B
76,,0.81630825,16.9411337,23.9234449760766,5.07,3.1758814,F
77,,0.8180835,57.8165477,5.95273528186202,3.46,4.586417,G
78,,0.83023048,41.07895474,208.333333333333,4.53,-2.063794,B
79,,0.83547899,-10.64377045,15.4583397743082,5.17,4.224186,F
80,,0.84475779,-50.98692422,76.5696784073507,5.24,0.81971586,F
81,,0.84543679,64.24758084,249.376558603491,5.35,-1.6342782,A
82,,0.8779447,-24.00592567,153.374233128834,5.47,-0.45876202,K
83,,0.88346958,-1.1442206,159.235668789809,4.78,-1.2302018,M
84,,0.88452203,61.12355735,18.5701021355617,4.8,3.4559286,F
85,,0.91611663,23.62844595,38.9256520046711,5.46,2.5088205,K
86,,0.91672028,58.97279657,124.688279301746,4.83,-0.64912814,K
87,,0.91674982,-69.52697888,64.4329896907217,5.45,1.4044586,G
88,,0.93375167,-11.26650685,160.25641025641,5.35,-0.67407703,K
89,,0.94444736,59.18116582,63.1313131313131,4.62,0.6187759,G
90,,0.9451392,60.71674966,187.96992481203,2.15,-4.220442,B
91,,0.94586046,38.49925513,41.7885499373172,3.86,0.7547135,A
92,,0.95345215,23.41775997,74.4047619047619,4.4,0.041996345,G
93,,0.9639301,28.9922356,215.982721382289,5.44,-1.232095,G
94,,0.97676274,-29.35746436,206.185567010309,4.3,-2.2712913,B
95,,1.04066048,-31.55204219,69.4927032661571,5.5,1.290304,A
96,,1.04696849,31.80433674,127.064803049555,5.5,-0.020126339,B
97,,1.0469977,-46.39733801,72.1500721500721,5.39,1.0988162,G
98,,1.04907107,7.89007256,58.343057176196,4.27,0.4400541,K
99,,1.05072351,-4.83635047,125.786163522013,5.4,-0.09816436,K
100,,1.0947021,21.4732162,73.1528895391368,5.33,1.0088426,A
101,,1.10141847,-46.71849042,60.7533414337789,3.32,-0.59785086,G
102,,1.12182573,-61.77526197,85.6164383561644,5.36,0.6972142,G
103,,1.12995146,-41.48693516,60.6796116504854,5.21,1.2947861,A
104,,1.13353292,43.94224107,60.2046959662854,5.04,1.1418482,A
105,,1.13692251,54.92422766,7.55287009063444,5.17,5.77944,G
106,,1.13973891,-55.24583235,85.7632933104631,3.94,-0.72650725,B
107,,1.14312879,-10.181928,36.0620266858997,3.46,0.6747494,K
108,,1.14559982,86.25711803,95.8772770853308,4.24,-0.66857845,K
109,,1.15836727,47.2418241,225.733634311512,4.26,-2.5079813,B
110,Mirach,1.16216599,35.62083048,61.1246943765281,2.07,-1.8610835,M
111,,1.17757375,68.77868759,97.4658869395711,5.32,0.3757368,A
112,,1.18498074,55.14994765,42.1407501053519,4.34,1.2164887,A
113,,1.18521479,31.42476555,171.821305841924,5.15,-1.025385,F
114,,1.19088726,21.03467568,134.770889487871,4.66,-0.9879805,K
115,,1.19432964,30.08972962,49.7265042267529,4.51,1.0270604,K
116,,1.22883399,7.57548895,45.2693526482571,5.21,1.9309785,A
117,,1.22914867,24.58376482,115.740740740741,4.67,-0.6474313,K
118,,1.23999082,-7.9235004,24.3842965130456,5.14,3.204449,F
119,,1.25293547,-45.53209717,15.053439710974,4.97,4.0818214,F
120,,1.26263759,-68.87623708,20.4331834899877,4.25,2.69832,F
121,,1.27676298,-2.5002128,78.4929356357928,5.42,0.94584715,G
122,,1.29666224,3.61452038,67.4308833445718,5.13,0.98570573,A
123,,1.3244383,27.26408682,95.3288846520496,4.74,-0.15612257,A
124,,1.33469935,58.2316161,714.285714285714,4.95,-4.31936,F
125,,1.35204276,28.73838983,105.374077976818,5.23,0.11633106,K
126,,1.37233139,45.5287566,59.9520383693046,4.87,0.9809802,K
127,,1.40040311,-8.18275372,35.1123595505618,3.6,0.8726999,K
128,,1.4113259,-41.49245885,75.642965204236,5.42,1.0261573,K
129,,1.42700257,-14.59875437,88.4173297966401,4.9,0.16731302,K
130,,1.43016751,60.23540347,30.4785126485827,2.66,0.24003115,A
131,,1.4321956,68.12994739,59.206631142688,4.72,0.8581483,K
132,,1.43757739,19.17232096,26.0756192959583,5.35,3.2688267,F
133,,1.44490194,19.24056476,94.0733772342427,5.5,0.63266635,K
134,,1.46085698,45.40695287,28.3045570336824,4.83,2.5707183,F
135,,1.47276157,-43.31772906,71.7360114777618,3.41,-0.86868614,K
136,,1.49336117,-21.62934677,67.9347826086957,5.11,0.94953907,A
137,,1.501695,47.00737711,88.809946714032,5.27,0.52769196,K
138,,1.50303973,6.14393314,110.497237569061,4.84,-0.37675712,K
139,,1.5208282,-49.07307701,45.1467268623025,3.93,0.65686864,K
140,,1.52472051,15.34583101,90.1713255184851,3.62,-1.1553422,G
141,,1.54890337,-36.86518161,81.3669650122051,5.49,0.9377594,K
142,,1.56553499,59.23209665,62.65664160401,4.68,0.69516444,K
143,,1.59971033,-15.40021584,168.350168350168,5.41,-0.7210678,K
144,,1.61332694,41.40638491,13.4680134680135,4.1,3.4534824,F
145,Achernar,1.62854213,-57.23666007,44.0917107583774,0.45,-2.7717848,B
146,,1.6331951,48.62848641,53.3049040511727,3.59,-0.04383583,K
147,,1.64192808,73.04007203,136.986301369863,5.28,-0.4033857,G
148,,1.65583862,44.38612827,74.2942050520059,5.01,0.6552253,G
149,,1.67633449,40.57710624,208.768267223382,4.96,-1.6383225,B
150,,1.69052987,5.48760445,112.866817155756,4.45,-0.8128314,K
151,,1.69625436,42.61380692,12.643823492224,4.96,4.450608,G
152,,1.70240155,-32.32685759,66.577896138482,5.25,1.1333497,K
153,,1.70831938,20.27015091,7.46770218803674,5.24,5.874065,K
154,,1.71208803,-3.69011692,369.0036900369,4.98,-2.8551536,K
155,,1.71548024,70.62255881,86.0585197934596,5.18,0.5060306,B
156,,1.72767091,50.6887655,219.78021978022,4.01,-2.699943,B
157,,1.73475762,-15.93955597,3.6473720684247,3.49,5.6800995,G
158,,1.75655241,9.15764102,79.1765637371338,4.26,-0.23298325,K
159,,1.76073734,-25.05243403,27.4273176083379,5.29,3.0990834,F
160,,1.76646271,-5.73322696,156.25,5.37,-0.5991001,K
161,,1.76831278,-50.81621317,208.333333333333,5.49,-1.1037939,M
162,,1.76837191,-53.52218065,57.0125427594071,5.04,1.2601479,A
163,,1.82644197,-10.68618074,23.6127508854782,4.66,2.7942672,F
164,,1.85766961,-10.33494526,79.428117553614,3.74,-0.75987136,K
165,,1.88469439,29.57939727,19.657951641439,3.42,1.9523087,F
166,,1.88815331,40.72979974,165.562913907285,5.42,-0.6748153,K
167,,1.892157,19.29409264,62.65664160401,3.88,-0.10483556,A
168,,1.89259348,3.18747844,58.4453535943892,4.61,0.77625006,K
169,,1.89411658,-46.30244631,98.5221674876847,4.39,-0.5776698,M
170,,1.90612786,-42.49688104,94.7867298578199,5.12,0.23626229,A
171,,1.90657873,63.67014686,135.50135501355,3.35,-2.3097181,B
172,,1.91065251,20.80829949,18.2681768359518,2.64,1.331524,A
173,,1.91555967,-67.64748114,66.4893617021277,4.68,0.5662392,G
174,,1.93245347,-51.60958673,17.4855744011191,3.69,2.4766004,G
175,,1.93333438,68.68526545,215.05376344086,4.97,-1.6927352,B
176,,1.94448852,-22.52671153,122.249388753056,4.92,-0.5162335,K
177,,1.9527758,-47.38529869,81.8330605564648,4.82,0.25535604,G
178,,1.95584261,17.8175894,202.020202020202,5.09,-1.436974,K
179,,1.96549317,23.5960961,40.8329930583912,4.79,1.7349439,F
180,,1.97940884,-61.56992444,21.8627022299956,2.86,1.1614808,F
181,,1.99388597,64.62163894,78.8022064617809,5.29,0.80730814,A
182,,1.99616341,-20.82457549,204.918032786885,5.43,-1.1279008,M
183,,2.00006244,-21.07777193,92.2509225092251,3.99,-0.8348536,K
184,,2.00743662,-8.52382616,181.818181818182,5.43,-0.86818653,M
185,,2.02077676,-30.00156583,85.397096498719,5.34,0.6827845,G
186,,2.0284451,-44.71339037,114.155251141553,5.15,-0.13747947,K
187,,2.03265271,70.90704605,35.8294518093873,4.49,1.7187992,A
